timestamp,open,high,low,close,volume
2023-11-24,1.418,1.4586,1.3824,1.4265,9334479.75
2023-11-25,1.4261,1.4425,1.3534,1.4154,6342504.97
2023-11-26,1.4153,1.4178,1.3199,1.3582,7538125.24
2023-11-27,1.3599,1.4095,1.2997,1.3422,9344106.77
2023-11-28,1.3423,1.378,1.2666,1.3444,7883047.07
2023-11-29,1.3443,1.3461,1.2557,1.2795,6335960.14
2023-11-30,1.28,1.2899,1.2356,1.2808,6999858.39
2023-12-01,1.2813,1.478,1.2649,1.4418,14477674.01
2023-12-02,1.442,1.4688,1.3773,1.4113,11760532.87
2023-12-03,1.4112,1.495,1.3823,1.4293,12476744.99
2023-12-04,1.4292,1.47,1.365,1.4215,12952893.02
2023-12-05,1.4215,1.5124,1.3804,1.4187,19458013.93
2023-12-06,1.4193,1.4979,1.3321,1.3909,20355567.62
2023-12-07,1.3909,1.541,1.3609,1.5358,22253464.58
2023-12-08,1.5362,1.6,1.48,1.5853,16881313.78
2023-12-09,1.5857,1.998,1.5616,1.9268,37814709.02
2023-12-10,1.9289,2.0173,1.7819,1.8438,20334909.91
2023-12-11,1.8437,2.0769,1.63,2.0606,38803391.6
2023-12-12,2.0605,2.2572,1.9535,1.9861,27150131.68
2023-12-13,1.9866,2.1028,1.96,2.062,22158540.2
2023-12-14,2.062,2.2997,1.9995,2.1849,23248646.12
2023-12-15,2.1851,2.2985,2.06,2.1527,14683674.89
2023-12-16,2.1522,2.3249,2.0838,2.0991,12882899.02
2023-12-17,2.099,2.1483,1.9687,1.9846,11146882.04
2023-12-18,1.9849,2.1768,1.7839,2.161,17255294.39
2023-12-19,2.1613,2.2349,2.0592,2.0652,12959961.74
2023-12-20,2.0645,2.4246,2.041,2.3818,15973045.27
2023-12-21,2.3812,2.4587,2.2669,2.2995,10299257.88
2023-12-22,2.2997,2.3812,2.2101,2.2996,9780045.17
2023-12-23,2.2992,2.5758,2.2801,2.4536,17675701.71
2023-12-24,2.4537,2.5422,2.3009,2.3846,8718576.58
2023-12-25,2.384,2.533,2.36,2.412,7955258.25
2023-12-26,2.4115,2.464,2.15,2.3647,8456111.73
2023-12-27,2.3649,2.5978,2.3008,2.494,11445617.96
2023-12-28,2.4943,2.5196,2.25,2.3179,7983562.06
2023-12-29,2.3182,2.3514,2.2201,2.301,5906643.98
2023-12-30,2.3004,2.3829,2.2034,2.2274,3488222.09
2023-12-31,2.2273,2.2779,2.1,2.1315,4628590.04
2024-01-01,2.1315,2.2838,2.1238,2.2811,4201736.48
