timestamp,open,high,low,close,volume
2023-11-24,0.2583,0.2663,0.247,0.2554,4742168.0
2023-11-25,0.2558,0.257,0.2518,0.2538,1318723.0
2023-11-26,0.2538,0.272,0.2489,0.2606,4337509.0
2023-11-27,0.2608,0.2636,0.2445,0.2529,3361700.0
2023-11-28,0.253,0.2785,0.248,0.2648,7635807.0
2023-11-29,0.2644,0.272,0.2565,0.2586,2066395.0
2023-11-30,0.2586,0.265,0.2519,0.2604,2105672.0
2023-12-01,0.2604,0.265,0.2578,0.2615,976990.0
2023-12-02,0.2618,0.2677,0.2592,0.2677,1052259.0
2023-12-03,0.2675,0.2778,0.26,0.2706,3902220.0
2023-12-04,0.2702,0.2736,0.2637,0.2684,2233821.0
2023-12-05,0.2685,0.2731,0.2623,0.2725,1661508.0
2023-12-06,0.2726,0.2778,0.2651,0.2717,2541975.0
2023-12-07,0.272,0.2929,0.266,0.283,9633077.0
2023-12-08,0.283,0.2937,0.283,0.2895,2282985.0
2023-12-09,0.2892,0.2937,0.2869,0.2874,1722192.0
2023-12-10,0.2871,0.2925,0.2813,0.2824,1058507.0
2023-12-11,0.2821,0.301,0.2668,0.2745,7763929.0
2023-12-12,0.2742,0.2825,0.2692,0.2752,2030260.0
2023-12-13,0.2755,0.2893,0.2644,0.2836,4882247.0
2023-12-14,0.2845,0.2875,0.274,0.2814,2002991.0
2023-12-15,0.2813,0.2824,0.2715,0.2721,1132952.0
2023-12-16,0.272,0.2799,0.271,0.2749,975005.0
2023-12-17,0.2753,0.2766,0.2676,0.2681,808977.0
2023-12-18,0.2677,0.2779,0.2535,0.2684,3175790.0
2023-12-19,0.2689,0.2762,0.2678,0.2715,1323084.0
2023-12-20,0.2714,0.285,0.2699,0.2795,1910958.0
2023-12-21,0.2795,0.2839,0.2772,0.2807,1317147.0
2023-12-22,0.2804,0.2938,0.277,0.2901,2911972.0
2023-12-23,0.2901,0.2913,0.2826,0.2879,1544619.0
2023-12-24,0.2877,0.2997,0.2858,0.2884,2944805.0
2023-12-25,0.2884,0.3055,0.2852,0.3034,2659146.0
2023-12-26,0.303,0.3179,0.294,0.3107,4571003.0
2023-12-27,0.311,0.3249,0.3005,0.3144,4020474.0
2023-12-28,0.314,0.3206,0.3033,0.3052,2410224.0
2023-12-29,0.3053,0.3113,0.2978,0.3023,1335405.0
2023-12-30,0.3024,0.3049,0.2942,0.2975,826296.0
2023-12-31,0.2972,0.3006,0.2917,0.2923,1145680.0
2024-01-01,0.2923,0.3056,0.2898,0.3048,1332704.0
2024-01-02,0.305,0.3089,0.2969,0.2995,1466720.0
2024-01-03,0.2996,0.3037,0.2662,0.2747,2464195.0
2024-01-04,0.2748,0.2889,0.2692,0.2838,1258299.0
2024-01-05,0.2838,0.2847,0.2645,0.2746,1245355.0
2024-01-06,0.2743,0.2768,0.2602,0.2676,994932.0
2024-01-07,0.2679,0.2698,0.2536,0.2572,935256.0
2024-01-08,0.2572,0.2641,0.2409,0.2627,1887572.0
2024-01-09,0.2628,0.2628,0.2448,0.2532,1133188.0
2024-01-10,0.2532,0.2687,0.2478,0.2636,1675600.0
2024-01-11,0.2636,0.2786,0.263,0.2697,2168936.0
2024-01-12,0.2699,0.276,0.2525,0.2611,1755216.0
2024-01-13,0.261,0.2672,0.2562,0.2626,718656.0
2024-01-14,0.2626,0.2643,0.2508,0.2508,1196378.0
2024-01-15,0.251,0.2609,0.2507,0.2538,757500.0
2024-01-16,0.2541,0.2619,0.2527,0.2577,938185.0
2024-01-17,0.2577,0.274,0.253,0.2691,2357923.0
2024-01-18,0.2692,0.31,0.243,0.2455,18873640.0
2024-01-19,0.2456,0.2547,0.2354,0.2465,2486296.0
2024-01-20,0.2463,0.2557,0.2449,0.2523,1254473.0
2024-01-21,0.2523,0.2578,0.2514,0.2528,1096060.0
2024-01-22,0.2528,0.2551,0.2385,0.2388,1762549.0
2024-01-23,0.2388,0.2423,0.2265,0.2365,1835682.0
2024-01-24,0.2366,0.2421,0.2333,0.2404,1162565.0
2024-01-25,0.2407,0.2467,0.2331,0.2456,1186452.0
2024-01-26,0.2455,0.2532,0.2391,0.2501,1332027.0
2024-01-27,0.25,0.2744,0.2481,0.2536,3814829.0
2024-01-28,0.2536,0.2938,0.2462,0.2473,11809780.0
2024-01-29,0.2473,0.2543,0.2456,0.251,1825262.0
2024-01-30,0.251,0.253,0.246,0.2474,1189578.0
2024-01-31,0.2474,0.2496,0.2399,0.2418,1163884.0
2024-02-01,0.242,0.2489,0.2383,0.2449,1401075.0
2024-02-02,0.245,0.2634,0.2416,0.2467,2364079.0
2024-02-03,0.2467,0.2494,0.243,0.2441,666642.0
2024-02-04,0.2441,0.2572,0.2409,0.2474,2139545.0
2024-02-05,0.2477,0.2536,0.2434,0.2458,1498469.0
2024-02-06,0.2458,0.2489,0.2432,0.2462,1295533.0
2024-02-07,0.2462,0.2569,0.2446,0.2521,1813984.0
2024-02-08,0.2526,0.255,0.249,0.2496,1366910.0
2024-02-09,0.2499,0.279,0.2496,0.2672,4615195.0
2024-02-10,0.2672,0.3258,0.2601,0.2606,40303610.0
2024-02-11,0.2606,0.3,0.256,0.2817,12331724.0
2024-02-12,0.2817,0.3083,0.2715,0.2823,20575473.0
2024-02-13,0.2825,0.2865,0.275,0.2771,3288801.0
2024-02-14,0.2772,0.2896,0.2752,0.2852,2899587.0
2024-02-15,0.2852,0.2954,0.284,0.2944,2603311.0
2024-02-16,0.2944,0.2985,0.281,0.2867,2061090.0
2024-02-17,0.2866,0.2969,0.2838,0.2902,1850376.0
2024-02-18,0.2904,0.2975,0.289,0.2936,1946975.0
2024-02-19,0.2936,0.3091,0.2929,0.3077,2302743.0
2024-02-20,0.3077,0.317,0.2925,0.3062,3497103.0
2024-02-21,0.3062,0.312,0.2875,0.2962,2473078.0
2024-02-22,0.2963,0.3112,0.2891,0.305,2336333.0
2024-02-23,0.305,0.3117,0.3001,0.3046,2248422.0
2024-02-24,0.3049,0.315,0.3013,0.3115,1496929.0
2024-02-25,0.3116,0.324,0.3082,0.3196,2365018.0
2024-02-26,0.3196,0.332,0.3094,0.3213,5158517.0
2024-02-27,0.3217,0.34,0.3179,0.3379,3651405.0
2024-02-28,0.3375,0.3675,0.299,0.3271,8443822.0
2024-02-29,0.3271,0.3508,0.3227,0.3327,4158565.0
2024-03-01,0.3327,0.35,0.3326,0.3491,1952269.0
2024-03-02,0.3495,0.3656,0.3425,0.3654,3071049.0
2024-03-03,0.3654,0.367,0.3396,0.355,3436921.0
2024-03-04,0.355,0.3675,0.342,0.3529,4957508.0
2024-03-05,0.3526,0.3687,0.305,0.3213,6897107.0
2024-03-06,0.321,0.345,0.312,0.3391,3668187.0
2024-03-07,0.3395,0.3499,0.3309,0.349,3541149.0
2024-03-08,0.349,0.3545,0.337,0.3532,3019901.0
2024-03-09,0.3532,0.3705,0.3503,0.3611,2703366.0
