,Symbol,High_in_x_days,Volume_Increase_Pct,Holding_Period,Num_Signals,Total_Return,Accuracy,Sharpe_Ratio
7855,LINK/USDT,5,60,6,51,124.6118656276058,45.09803921568628,0.19337618303375725
7856,LINK/USDT,5,60,7,51,149.34389322870157,47.05882352941176,0.21915650647166576
7857,LINK/USDT,5,60,8,51,159.5159254025686,50.98039215686274,0.22444745977552738
7858,LINK/USDT,5,60,9,51,170.0304059588915,54.90196078431373,0.22886809220935533
7859,LINK/USDT,5,60,10,51,194.7680735838049,49.01960784313725,0.2558790206835612
7860,LINK/USDT,5,70,1,44,30.09720765060853,47.72727272727273,0.13271967899298087
7861,LINK/USDT,5,70,2,44,49.9828460337434,40.909090909090914,0.151411002411329
7862,LINK/USDT,5,70,3,44,74.45041881527071,47.72727272727273,0.18195039395635704
7863,LINK/USDT,5,70,4,44,104.9748096961005,52.27272727272727,0.23405988428201793
7864,LINK/USDT,5,70,5,44,129.44447792231588,45.45454545454545,0.23478102773748374
7865,LINK/USDT,5,70,6,44,132.17588314423202,47.72727272727273,0.2263145255998902
7866,LINK/USDT,5,70,7,44,151.44641491107024,47.72727272727273,0.2424025725615087
7867,LINK/USDT,5,70,8,44,147.63395824033068,50.0,0.22744562093650675
7868,LINK/USDT,5,70,9,44,151.85220719877296,52.27272727272727,0.22284006265273607
7869,LINK/USDT,5,70,10,44,164.57372114244464,47.72727272727273,0.23788362545856004
7870,LINK/USDT,5,80,1,35,16.57150921732432,48.57142857142857,0.10050491611917356
7871,LINK/USDT,5,80,2,35,39.88405259155486,45.714285714285715,0.20263751578146905
7872,LINK/USDT,5,80,3,35,59.29464334242762,54.285714285714285,0.21856736835758453
7873,LINK/USDT,5,80,4,35,87.34838749326337,60.0,0.2636876307531518
7874,LINK/USDT,5,80,5,35,102.0377759354804,48.57142857142857,0.2505648793657598
7875,LINK/USDT,5,80,6,35,116.51301873763002,51.42857142857142,0.2686536818373816
7876,LINK/USDT,5,80,7,35,135.2507861891785,51.42857142857142,0.2979601722252645
7877,LINK/USDT,5,80,8,35,142.44133422881967,57.14285714285714,0.2919277105997355
7878,LINK/USDT,5,80,9,35,130.62836139295453,57.14285714285714,0.27059964134282766
7879,LINK/USDT,5,80,10,35,146.98725328754344,54.285714285714285,0.29423460499776305
7880,LINK/USDT,5,90,1,30,8.761282543218424,40.0,0.05782314922578882
7881,LINK/USDT,5,90,2,30,30.93592186491264,46.666666666666664,0.1735080362620922
7882,LINK/USDT,5,90,3,30,47.74834042160051,53.333333333333336,0.19373384894432424
7883,LINK/USDT,5,90,4,30,57.10117990030831,56.666666666666664,0.1980765579601124
7884,LINK/USDT,5,90,5,30,75.47630154495968,46.666666666666664,0.21134633539155706
7885,LINK/USDT,5,90,6,30,91.9546899441928,50.0,0.2387567381315843
7886,LINK/USDT,5,90,7,30,108.29784970796949,46.666666666666664,0.2699718976454128
7887,LINK/USDT,5,90,8,30,114.08261240007849,56.666666666666664,0.27395327724572965
7888,LINK/USDT,5,90,9,30,106.22184645871529,56.666666666666664,0.249398671478085
7889,LINK/USDT,5,90,10,30,119.91401214951591,53.333333333333336,0.27793210953569797
7890,LINK/USDT,5,100,1,24,7.548465592594994,41.66666666666667,0.06747061738353884
7891,LINK/USDT,5,100,2,24,26.456563691114926,50.0,0.17955155965545047
7892,LINK/USDT,5,100,3,24,60.620526137082955,62.5,0.3035893553804947
7893,LINK/USDT,5,100,4,24,59.51896784481823,58.333333333333336,0.23549668624771902
7894,LINK/USDT,5,100,5,24,57.74302986328755,50.0,0.1949061680379488
7895,LINK/USDT,5,100,6,24,59.533493188523025,50.0,0.20465324623199888
7896,LINK/USDT,5,100,7,24,73.82235939205289,50.0,0.2501914733285929
7897,LINK/USDT,5,100,8,24,51.681367088152776,58.333333333333336,0.1801185288360485
7898,LINK/USDT,5,100,9,24,35.251564892326044,58.333333333333336,0.12788021012032633
7899,LINK/USDT,5,100,10,24,58.5132488314694,54.166666666666664,0.1965808392994727
7900,LINK/USDT,10,10,1,66,4.260700609419854,43.93939393939394,0.013394274145103259
7901,LINK/USDT,10,10,2,66,33.47002315994795,46.96969696969697,0.07429532313378732
7902,LINK/USDT,10,10,3,66,42.01482512339088,46.96969696969697,0.07036462494675502
7903,LINK/USDT,10,10,4,66,56.879117202909214,48.484848484848484,0.0905620595578959
7904,LINK/USDT,10,10,5,66,37.472287954449925,43.93939393939394,0.05567290310495061
7905,LINK/USDT,10,10,6,66,34.73309754278204,46.96969696969697,0.049566997477980324
7906,LINK/USDT,10,10,7,66,54.653416700189794,46.96969696969697,0.07429181488741116
7907,LINK/USDT,10,10,8,66,81.57979883708887,51.515151515151516,0.10730934665596302
7908,LINK/USDT,10,10,9,66,79.796346013547,53.03030303030303,0.09691158163446864
7909,LINK/USDT,10,10,10,66,88.00397847087093,42.42424242424242,0.09979795065925968
7910,LINK/USDT,10,20,1,55,3.9578303773718293,47.27272727272727,0.015179571680576433
7911,LINK/USDT,10,20,2,55,28.773426303077372,45.45454545454545,0.07409694727237588
7912,LINK/USDT,10,20,3,55,24.982383427778977,45.45454545454545,0.050109205027317825
7913,LINK/USDT,10,20,4,55,38.098632281922384,49.09090909090909,0.07384034368631034
7914,LINK/USDT,10,20,5,55,27.028512434460307,43.63636363636363,0.04822760333624599
7915,LINK/USDT,10,20,6,55,38.74494812703245,43.63636363636363,0.06303091986605155
7916,LINK/USDT,10,20,7,55,77.3662256627899,47.27272727272727,0.12217724444515109
7917,LINK/USDT,10,20,8,55,83.76708016809083,52.72727272727272,0.1280573695665459
7918,LINK/USDT,10,20,9,55,97.83591858177371,54.54545454545454,0.1386675148753013
7919,LINK/USDT,10,20,10,55,106.68002548977316,41.81818181818181,0.1395994559978627
7920,LINK/USDT,10,30,1,49,22.453986057848837,48.97959183673469,0.09815479782546079
7921,LINK/USDT,10,30,2,49,35.12929584952851,42.857142857142854,0.102654579365201
7922,LINK/USDT,10,30,3,49,29.663010780634124,42.857142857142854,0.0673551620374886
7923,LINK/USDT,10,30,4,49,51.11288773125345,48.97959183673469,0.11286014084307708
7924,LINK/USDT,10,30,5,49,49.14593744782386,40.816326530612244,0.09942904942833002
