Symbol,Last_Trigger_Date,Price(THB),Price(USD),High_in_x_hours,Volume_Increase_Pct,Holding_hours,TP(%),SL(%),Num_Signals,AVG_Return_No_TP_SL,Accuracy_No_TP_SL,AVG_Return_With_TP_SL,Accuracy_With_TP_SL,Weight,Sell
1INCH-USD,2024-11-07 08:00:00+07:00,9.309226945340635,0.2713269293308258,264,40,192,100,20,81,2.0338771104775124,61.72839506172839,1.8394894990697754,61.72839506172839,0.0,True
AAVE-USD,2024-11-27 22:00:00+07:00,7007.018594665527,204.22671508789062,600,10,120,100,20,61,1.075449071002741,57.377049180327866,0.6353821787003151,57.377049180327866,0.0,False
ADA-USD,2024-11-20 12:00:00+07:00,26.860547640919687,0.7828781008720398,672,90,48,100,20,43,6.312818720880284,79.06976744186046,5.9841437537887625,79.06976744186046,0.0288,True
ALGO-USD,2024-11-10 07:00:00+07:00,4.609581282734871,0.1343509554862976,624,60,120,100,40,51,9.642389407957415,76.47058823529412,9.642389407957415,76.47058823529412,0.018,True
ALPHA-USD,2024-11-23 13:00:00+07:00,2.9406744481623157,0.0857089608907699,648,70,72,100,20,35,0.9183683316223216,65.71428571428571,1.1024763094487147,65.71428571428571,0.024,True
ANKR-USD,2024-11-11 00:00:00+07:00,1.0118976207636277,0.0294927898794412,576,90,144,100,40,46,8.318940962171766,80.43478260869566,8.318940962171766,80.43478260869566,0.0216,True
APE-USD,2024-11-23 08:00:00+07:00,42.66037019252777,1.243380069732666,600,20,216,100,40,27,-1.2018031066407135,59.25925925925925,0.4343908574502348,59.25925925925925,0.0,False
APT-USD,2024-11-20 15:00:00+07:00,0.007436007701470864,0.0002167300408473,216,100,24,100,20,11,11.765504808063401,63.63636363636363,18.008141514394183,63.63636363636363,0.0131999999999999,True
ARB-USD,2024-11-12 11:00:00+07:00,0.09125931160757086,0.0026598458644002,24,10,24,100,20,1,-4.35797472980314,0.0,-4.35797472980314,0.0,0.0,True
ARKM-USD,2024-11-06 07:00:00+07:00,59.79618776082993,1.7428209781646729,312,100,96,100,20,53,9.99837674996528,67.9245283018868,9.623589699420906,67.9245283018868,0.0072,True
AR-USD,2024-11-23 08:00:00+07:00,708.3151105690002,20.644567489624023,672,60,240,100,40,41,22.35234659579847,58.53658536585365,21.36248328433754,58.53658536585365,0.0084,False
ATOM-USD,2024-11-10 15:00:00+07:00,174.15274104595184,5.075859546661377,576,10,144,100,20,39,6.535211346391121,74.35897435897436,6.535211346391121,74.35897435897436,0.0072,True
AVAX-USD,2024-11-25 14:00:00+07:00,1542.6790023422245,44.96295547485352,504,100,24,100,20,35,0.2081507426813922,60.0,0.2081507426813922,60.0,0.0,True
AVA-USD,2024-11-29 16:00:00+07:00,20.62425729453564,0.6011150479316711,624,10,24,100,20,38,1.0770959648159193,73.68421052631578,1.0770959648159193,73.68421052631578,0.0,False
AXS-USD,2024-11-23 06:00:00+07:00,217.05094067096712,6.326171398162842,576,100,96,100,20,26,3.8771062874796387,69.23076923076923,3.8771062874796387,69.23076923076923,0.0,True
BAL-USD,2024-11-21 20:00:00+07:00,83.12537856340408,2.422774076461792,576,30,96,100,20,53,2.1132511960477807,71.69811320754717,2.1132511960477807,71.69811320754717,0.0276,True
BAND-USD,2024-11-10 15:00:00+07:00,43.082669994831086,1.2556884288787842,528,20,168,100,40,50,2.0955118019234655,62.0,2.0955118019234655,62.0,0.0,True
BAT-USD,2024-11-11 01:00:00+07:00,6.495741426497698,0.1893250197172165,576,90,192,100,20,32,4.69087409506647,68.75,4.492458042061621,68.75,0.0,True
BCH-USD,2024-11-21 11:00:00+07:00,16902.80034942627,492.6493835449219,696,100,72,100,20,30,2.851712489843879,56.66666666666666,2.8466711793476,56.66666666666666,0.0,True
BEL-USD,2024-11-19 17:00:00+07:00,22.120932784676555,0.644737184047699,552,20,96,100,20,60,1.6348431139456572,66.66666666666666,2.6025437667747773,66.66666666666666,0.0036,True
BNB-USD,2024-11-23 14:00:00+07:00,22775.64560424805,663.8194580078125,672,40,120,100,20,59,3.8686580478288586,72.88135593220339,3.8686580478288586,72.88135593220339,0.0443999999999999,True
BNT-USD,2024-11-18 22:00:00+07:00,21.993684549331668,0.6410284042358398,240,60,144,100,20,75,1.0829919733622775,64.0,0.9962911840473513,64.0,0.0,True
BONK-USD,2024-11-10 19:00:00+07:00,0.0008557342130370672,2.494124782970175e-05,696,80,120,100,40,38,16.9067093215749,68.42105263157895,16.193182682672663,68.42105263157895,0.0072,True
BTC-USD,2024-11-20 01:00:00+07:00,3218726.1743750004,93813.0625,600,70,96,100,20,79,3.0243989025615177,70.88607594936708,3.0243989025615177,70.88607594936708,0.0048,True
CAKE-USD,2024-11-28 03:00:00+07:00,109.79582176208497,3.2001113891601562,480,100,48,100,20,30,3.6458191299920073,63.33333333333333,3.6458191299920073,63.33333333333333,0.0168,True
CELO-USD,2024-11-23 06:00:00+07:00,25.539002844095233,0.7443603277206421,624,80,240,100,40,26,6.373423367257901,69.23076923076923,6.150210076472847,69.23076923076923,0.0072,False
CHZ-USD,2024-11-06 07:00:00+07:00,2.000209976509212,0.0582981631159782,48,100,120,100,20,136,2.600219314843578,66.17647058823529,2.5204710856886514,66.17647058823529,0.0072,True
COTI-USD,2024-11-29 19:00:00+07:00,5.236240957528351,0.1526155918836593,96,100,24,100,20,99,3.2716193705835894,67.67676767676768,3.2047858757698084,67.67676767676768,0.0288,False
